0.0141	2.9053	0	0	0.0141	2.9053	-0.0165	3.0494	-0.0941	0.9956
-0.0749371	3.09069	-0.218567	1.02189	-0.0801631	3.07025	-0.0821	3.4438	-0.2181	0.9759
-0.257057	3.87663	-0.465058	1.80576	-0.2587	3.9306	-0.1966	3.8267	-0.3387	0.9409
-0.26321	4.1614	0.00321356	0.700525	-0.251813	3.96	-0.3583	4.1923	-0.454	0.891
-0.392868	4.36046	-0.355665	0.473473	-0.4062	4.3464	-0.5645	4.5348	-0.5621	0.8271
-0.738391	4.85518	-0.829636	0.709224	-0.833202	5.27004	-0.8119	4.8487	-0.6613	0.7501
-1.22426	4.97396	-1.25107	0.244146	-1.2393	4.9445	-1.0968	5.1292	-0.7501	0.6613
-1.45486	5.34975	-0.626633	1.26644	-1.37621	5.27286	-1.4146	5.3717	-0.8271	0.5621
-1.88234	5.42123	-1.044	0.0697761	-1.8877	5.3497	-1.7602	5.5725	-0.891	0.454
-2.12333	5.64779	-0.574947	0.609995	-2.09856	5.6941	-2.1283	5.7283	-0.9409	0.3387
-2.32767	5.62208	-0.466215	-0.138329	-2.3145	5.5747	-2.5131	5.8368	-0.9759	0.2181
-2.8159	5.69036	-1.35558	0.37189	-2.84771	5.6592	-2.9084	5.8963	-0.9956	0.0941
-3.12498	5.80669	-0.756487	0.249045	-3.0991	5.7918	-3.308	5.9057	-0.9995	-0.0314
-3.55975	6.13014	-0.853425	0.408046	-3.74552	6.44116	-3.7057	5.8649	-0.9877	-0.1564
-4.2074	5.72927	-1.49284	-1.05157	-4.2127	5.6541	-4.0951	5.7747	-0.9603	-0.279
-4.59175	5.75718	-0.674164	-0.117029	-4.66487	6.01182	-4.4701	5.6363	-0.9178	-0.3971
-5.04844	5.5705	-1.12391	-0.427343	-5.0654	5.5629	-4.8248	5.4521	-0.8607	-0.509
-5.39577	5.25761	-1.18697	-0.477528	-5.17378	5.04294	-5.1537	5.2248	-0.7902	-0.6129
-5.61742	5.19838	-0.572375	-0.218511	-5.5911	5.1997	-5.4515	4.9581	-0.7071	-0.7071
-5.95855	4.9076	-0.717783	-0.902357	-6.05774	4.91966	-5.7134	4.6562	-0.6129	-0.7901
